ID	宏名	中文说明
169	KISS_CUSHION	亲吻靠垫
170	ZIGZAG_CUSHION	之字靠垫
171	SPIN_CUSHION	旋转靠垫
172	DIAMOND_CUSHION	菱形靠垫
173	BALL_CUSHION	球形靠垫
174	GRASS_CUSHION	草靠垫
175	FIRE_CUSHION	火靠垫
176	WATER_CUSHION	水靠垫
177	BIG_SNORLAX_DOLL	大卡比兽玩偶
178	BIG_RHYDON_DOLL	大钻角犀兽玩偶
179	BIG_LAPRAS_DOLL	大拉普拉斯玩偶
180	BIG_VENUSAUR_DOLL	大妙蛙花玩偶
181	BIG_CHARIZARD_DOLL	大喷火龙玩偶
182	BIG_BLASTOISE_DOLL	大水箭龟玩偶
183	BIG_WAILMER_DOLL	大吼吼鲸玩偶
184	BIG_REGIROCK_DOLL	大雷吉洛克玩偶
185	BIG_REGICE_DOLL	大雷吉艾斯玩偶
186	BIG_REGISTEEL_DOLL	大雷吉斯奇鲁玩偶
187	LATIAS	拉帝亚斯
188	LATIOS	拉帝欧斯
189	GAMEBOY_KID	游戏男孩少年
190	CONTEST_JUDGE	华丽大赛评委
191	BRENDAN_WATERING	小悠浇水
192	MAY_WATERING	小遥浇水
193	BRENDAN_DECORATING	小悠装饰
194	MAY_DECORATING	小遥装饰
195	ARCHIE	水梧桐
196	MAXIE	赤焰松
197	KYOGRE_FRONT	盖欧卡正面
198	GROUDON_FRONT	固拉多正面
199	FOSSIL	化石
200	REGIROCK	雷吉洛克
201	REGICE	雷吉艾斯
202	REGISTEEL	雷吉斯奇鲁
203	SKITTY	向尾喵
204	KECLEON	变隐龙
205	KYOGRE_ASLEEP	沉睡盖欧卡
206	GROUDON_ASLEEP	沉睡固拉多
207	RAYQUAZA	烈空坐
208	ZIGZAGOON_2	蛇纹熊 2
209	PIKACHU	皮卡丘
210	AZUMARILL	玛力露丽
211	WINGULL	长翅鸥
212	KECLEON_BRIDGE_SHADOW	桥上变隐龙影子
213	TUBER_M_SWIMMING	游泳泳圈男孩
214	AZURILL	露力丽
215	MOM	妈妈
216	LINK_BRENDAN	通信小悠
217	LINK_MAY	通信小遥
218	JUAN	亚当
219	SCOTT	亚希达
220	POOCHYENA	土狼犬
221	KYOGRE_SIDE	盖欧卡侧面
222	GROUDON_SIDE	固拉多侧面
223	MYSTERY_GIFT_MAN	神秘礼物男子
224	TRICK_HOUSE_STATUE	戏法屋雕像
225	KIRLIA	奇鲁莉安
226	DUSCLOPS	彷徨夜灵
227	UNION_ROOM_NURSE	联合房间护士
228	SUDOWOODO	树才怪
229	MEW	梦幻
230	RED	赤红
231	LEAF	叶子
232	DEOXYS	代欧奇希斯
233	DEOXYS_TRIANGLE	代欧奇希斯三角
234	BRANDON	神代
235	LINK_RS_BRENDAN	通信 RS 小悠
236	LINK_RS_MAY	通信 RS 小遥
237	LUGIA	洛奇亚
238	HOOH	凤王
241	JD	劲敌
